echeance,strike,type,bid,ask,close,iv_ibkr,spot,capture_ts
20260619,6000.0,C,287.5,292.5,257.8,0.2925941230072776,6289.88,20260617_131429
20260619,6000.0,P,0.4,0.7,0.8,0.2925941230072776,6289.88,20260617_131429
20260619,6025.0,C,262.6,267.6,232.9,0.2766333636519365,6289.88,20260617_131429
20260619,6025.0,P,0.5,0.8,1.0,0.2766333636519365,6289.88,20260617_131429
20260619,6050.0,C,237.7,242.7,208.1,0.2594930989825637,6289.88,20260617_131429
20260619,6050.0,P,0.6,0.8,1.2,0.2594930989825637,6289.88,20260617_131429
20260619,6075.0,C,212.8,217.9,183.5,0.24127805740372213,6289.88,20260617_131429
20260619,6075.0,P,0.8,1.0,1.5,0.24127805740372213,6289.88,20260617_131429
20260619,6100.0,C,188.1,193.1,159.0,0.22270200814361474,6289.88,20260617_131429
20260619,6100.0,P,1.0,1.3,2.0,0.22270200814361474,6289.88,20260617_131429
20260619,6125.0,C,163.4,168.4,134.9,0.20556097081480126,6289.88,20260617_131429
20260619,6125.0,P,1.3,1.6,3.0,0.20556097081480126,6289.88,20260617_131429
20260619,6150.0,C,139.1,144.0,111.8,0.1922836678411144,6289.88,20260617_131429
20260619,6150.0,P,1.9,2.2,4.8,0.1922836678411144,6289.88,20260617_131429
20260619,6175.0,C,115.2,120.1,89.8,0.18342151811045557,6289.88,20260617_131429
20260619,6175.0,P,3.0,3.3,7.8,0.18342151811045557,6289.88,20260617_131429
20260619,6200.0,C,93.4,96.9,69.3,0.17597383325108856,6289.88,20260617_131429
20260619,6200.0,P,4.9,5.4,12.3,0.17597383325108856,6289.88,20260617_131429
20260619,6225.0,C,72.1,74.0,50.8,0.16627595075303098,6289.88,20260617_131429
20260619,6225.0,P,8.2,8.7,18.9,0.16627595075303098,6289.88,20260617_131429
20260619,6250.0,C,52.5,54.1,35.1,0.15972871359248902,6289.88,20260617_131429
20260619,6250.0,P,13.5,14.1,28.1,0.15972871359248902,6289.88,20260617_131429
20260619,6275.0,C,36.1,36.7,22.8,0.15645192496722873,6289.88,20260617_131429
20260619,6275.0,P,21.6,22.1,40.8,0.15645192496722873,6289.88,20260617_131429
20260619,6300.0,C,22.6,23.2,13.9,0.15092284152837374,6289.88,20260617_131429
20260619,6300.0,P,33.1,33.6,56.9,0.15092284152837374,6289.88,20260617_131429
20260619,6325.0,C,13.0,13.6,7.8,0.14858236389471707,6289.88,20260617_131429
20260619,6325.0,P,47.9,49.4,75.8,0.14858236389471707,6289.88,20260617_131429
20260619,6350.0,C,6.7,7.2,4.1,0.1491698768760869,6289.88,20260617_131429
20260619,6350.0,P,,,97.1,0.1491698768760869,6289.88,20260617_131429
20260619,6375.0,C,,,2.0,0.14640305108474275,6289.88,20260617_131429
20260619,6375.0,P,,,120.0,0.14640305108474275,6289.88,20260617_131429
20260619,6400.0,C,,,1.1,0.14595342559615604,6289.88,20260617_131429
20260619,6400.0,P,,,144.0,0.14595342559615604,6289.88,20260617_131429
20260619,6425.0,C,,,0.7,0.15203216841138847,6289.88,20260617_131429
20260619,6425.0,P,,,168.6,0.15203216841138847,6289.88,20260617_131429
20260619,6450.0,C,,,0.5,0.16344397761285878,6289.88,20260617_131429
20260619,6450.0,P,,,193.4,0.16344397761285878,6289.88,20260617_131429
20260619,6475.0,C,,,0.3,0.1767286400369436,6289.88,20260617_131429
20260619,6475.0,P,,,218.3,0.1767286400369436,6289.88,20260617_131429
20260619,6500.0,C,,,0.3,0.1892246016139733,6289.88,20260617_131429
20260619,6500.0,P,,,243.2,0.1892246016139733,6289.88,20260617_131429
20260619,6525.0,C,,,0.2,0.19934292021165473,6289.88,20260617_131429
20260619,6525.0,P,,,268.2,0.19934292021165473,6289.88,20260617_131429
20260619,6550.0,C,,,0.2,0.20660923579565854,6289.88,20260617_131429
20260619,6550.0,P,,,293.1,0.20660923579565854,6289.88,20260617_131429
20260619,6575.0,C,,,0.2,0.21123249339583597,6289.88,20260617_131429
20260619,6575.0,P,,,318.1,0.21123249339583597,6289.88,20260617_131429
20260619,6600.0,C,,,0.1,0.21366852059743227,6289.88,20260617_131429
20260619,6600.0,P,,,343.1,0.21366852059743227,6289.88,20260617_131429
20260626,6000.0,C,294.2,300.8,265.0,0.1812790332064145,6289.88,20260617_131429
20260626,6000.0,P,3.1,3.4,5.0,0.1812790332064145,6289.88,20260617_131429
20260626,6025.0,C,269.8,276.4,241.0,0.17515074979552628,6289.88,20260617_131429
20260626,6025.0,P,3.7,4.1,6.0,0.17515074979552628,6289.88,20260617_131429
20260626,6050.0,C,245.7,252.2,217.4,0.16933696404252607,6289.88,20260617_131429
20260626,6050.0,P,4.5,5.0,7.4,0.16933696404252607,6289.88,20260617_131429
20260626,6075.0,C,221.9,228.3,194.1,0.16385739385654136,6289.88,20260617_131429
20260626,6075.0,P,5.6,6.1,9.1,0.16385739385654136,6289.88,20260617_131429
20260626,6100.0,C,199.2,203.7,171.5,0.15872567120343176,6289.88,20260617_131429
20260626,6100.0,P,7.3,7.6,11.5,0.15872567120343176,6289.88,20260617_131429
20260626,6125.0,C,176.4,180.7,149.6,0.15394391111562375,6289.88,20260617_131429
20260626,6125.0,P,9.1,9.7,14.6,0.15394391111562375,6289.88,20260617_131429
20260626,6150.0,C,155.0,158.4,128.6,0.14949745609548065,6289.88,20260617_131429
