echeance,strike,type,T,forward,log_moneyness,iv_calculee,variance_totale,gardee,raison_rejet
20260619,6000.0,C,0.005479452054794521,6289.581773446948,-0.04713510856573172,0.2554,0.0003574200547945206,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6000.0,P,0.005479452054794521,6289.581773446948,-0.04713510856573172,0.2836,0.00044070663013698634,True,ok
20260619,6025.0,C,0.005479452054794521,6289.581773446948,-0.04297709841706804,0.2452,0.0003294413150684932,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6025.0,P,0.005479452054794521,6289.581773446948,-0.04297709841706804,0.2678,0.00039296898630136984,True,ok
20260619,6050.0,C,0.005479452054794521,6289.581773446948,-0.03883630575103664,0.2318,0.0002944177534246575,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6050.0,P,0.005479452054794521,6289.581773446948,-0.03883630575103664,0.2481,0.0003372800547945205,True,ok
20260619,6075.0,C,0.005479452054794521,6289.581773446948,-0.03471258856717458,0.219,0.0002628,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6075.0,P,0.005479452054794521,6289.581773446948,-0.03471258856717458,0.2342,0.0003005459726027397,True,ok
20260619,6100.0,C,0.005479452054794521,6289.581773446948,-0.03060580661452118,0.2076,0.00023615210958904113,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6100.0,P,0.005479452054794521,6289.581773446948,-0.03060580661452118,0.2194,0.0002637608767123288,True,ok
20260619,6125.0,C,0.005479452054794521,6289.581773446948,-0.026515821362996066,0.1938,0.0002057996712328767,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6125.0,P,0.005479452054794521,6289.581773446948,-0.026515821362996066,0.2031,0.0002260252602739726,True,ok
20260619,6150.0,C,0.005479452054794521,6289.581773446948,-0.02244249597536025,0.1843,0.0001861177534246575,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6150.0,P,0.005479452054794521,6289.581773446948,-0.02244249597536025,0.1902,0.00019822487671232876,True,ok
20260619,6175.0,C,0.005479452054794521,6289.581773446948,-0.018385695279745862,0.1756,0.00016896087671232877,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6175.0,P,0.005479452054794521,6289.581773446948,-0.018385695279745862,0.1798,0.00017713994520547944,True,ok
20260619,6200.0,C,0.005479452054794521,6289.581773446948,-0.014345285742740778,0.1741,0.00016608663013698631,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6200.0,P,0.005479452054794521,6289.581773446948,-0.014345285742740778,0.1721,0.00016229265753424658,True,ok
20260619,6225.0,C,0.005479452054794521,6289.581773446948,-0.010321135443015342,0.1636,0.00014665731506849315,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6225.0,P,0.005479452054794521,6289.581773446948,-0.010321135443015342,0.1651,0.0001493589589041096,True,ok
20260619,6250.0,C,0.005479452054794521,6289.581773446948,-0.006313114045476529,0.1576,0.00013609731506849314,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6250.0,P,0.005479452054794521,6289.581773446948,-0.006313114045476529,0.1595,0.00013939863013698631,True,ok
20260619,6275.0,C,0.005479452054794521,6289.581773446948,-0.00232109277593908,0.153,0.00012826849315068493,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6275.0,P,0.005479452054794521,6289.581773446948,-0.00232109277593908,0.1544,0.00013062663013698632,True,ok
20260619,6300.0,C,0.005479452054794521,6289.581773446948,0.0016550556037002247,0.149,0.00012164931506849315,True,ok
20260619,6300.0,P,0.005479452054794521,6289.581773446948,0.0016550556037002247,0.1504,0.00012394608219178083,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6325.0,C,0.005479452054794521,6289.581773446948,0.005615456819797259,0.147,0.00011840547945205477,True,ok
20260619,6325.0,P,0.005479452054794521,6289.581773446948,0.005615456819797259,0.148,0.00012002191780821916,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6350.0,C,0.005479452054794521,6289.581773446948,0.009560235110813492,0.1448,0.00011488789041095893,True,ok
20260619,6350.0,P,0.005479452054794521,6289.581773446948,0.009560235110813492,0.3347,0.0006138306301369863,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6375.0,C,0.005479452054794521,6289.581773446948,0.013489513250703161,0.1264,8.754498630136987e-05,True,ok
20260619,6375.0,P,0.005479452054794521,6289.581773446948,0.013489513250703161,0.3703,0.0007513539178082191,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6400.0,C,0.005479452054794521,6289.581773446948,0.017403412571839375,0.136,0.00010134794520547947,True,ok
20260619,6400.0,P,0.005479452054794521,6289.581773446948,0.017403412571839375,0.4092,0.0009175048767123288,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6425.0,C,0.005479452054794521,6289.581773446948,0.021302052987496805,0.1483,0.00012050898630136985,True,ok
20260619,6425.0,P,0.005479452054794521,6289.581773446948,0.021302052987496805,0.4494,0.0011066321095890414,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6450.0,C,0.005479452054794521,6289.581773446948,0.025185553013894316,0.1621,0.00014398032876712327,True,ok
20260619,6450.0,P,0.005479452054794521,6289.581773446948,0.025185553013894316,0.4891,0.0013107879999999998,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6475.0,C,0.005479452054794521,6289.581773446948,0.029054029791814744,0.1708,0.00015985008219178084,False,rejet_prix_trop_faible
20260619,6475.0,P,0.005479452054794521,6289.581773446948,0.029054029791814744,0.528,0.0015275835616438357,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6500.0,C,0.005479452054794521,6289.581773446948,0.03290759910780483,0.1904,0.00019864197260273974,False,rejet_prix_trop_faible
20260619,6500.0,P,0.005479452054794521,6289.581773446948,0.03290759910780483,0.5658,0.00175413501369863,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6525.0,C,0.005479452054794521,6289.581773446948,0.036746375414970396,0.1997,0.00021852104109589037,False,rejet_prix_trop_faible
20260619,6525.0,P,0.005479452054794521,6289.581773446948,0.036746375414970396,0.6032,0.0019936999452054792,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6550.0,C,0.005479452054794521,6289.581773446948,0.040570471853373945,0.218,0.0002604054794520548,False,rejet_prix_trop_faible
20260619,6550.0,P,0.005479452054794521,6289.581773446948,0.040570471853373945,0.6389,0.0022366751232876713,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6575.0,C,0.005479452054794521,6289.581773446948,0.04438000027004153,0.236,0.0003051835616438356,False,rejet_prix_trop_faible
